class,precision,recall,f1-score,support
Benign,0.9879151681827798,0.9993847306190144,0.9936168515120083,74764.0
Bot,0.9850560398505604,0.9968494013862634,0.9909176323207015,1587.0
Brute Force -Web,0.0,0.0,0.0,3.0
Brute Force -XSS,0.0,0.0,0.0,1.0
DDOS attack-HOIC,1.0,1.0,1.0,3803.0
DDOS attack-LOIC-UDP,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
DDoS attacks-LOIC-HTTP,0.99968671679198,0.9990607388854101,0.9993736298152208,3194.0
DoS attacks-GoldenEye,0.9913419913419913,0.9956521739130435,0.9934924078091106,230.0
DoS attacks-Hulk,0.9964966913195796,0.9996095275283092,0.9980506822612085,2561.0
DoS attacks-SlowHTTPTest,0.7642276422764228,0.4845360824742268,0.5930599369085173,776.0
DoS attacks-Slowloris,0.98,0.8032786885245902,0.8828828828828829,61.0
FTP-BruteForce,0.7050147492625368,0.8917910447761194,0.7874794069192751,1072.0
Infilteration,0.4,0.008908685968819599,0.017429193899782137,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,1.0,1.0,1.0,1040.0
accuracy,0.9835555555555555,0.9835555555555555,0.9835555555555555,0.9835555555555555
macro avg,0.713241859194316,0.6711973308643124,0.676346100881173,90000.0
weighted avg,0.977951178764309,0.9835555555555555,0.9784529633429995,90000.0
