class,precision,recall,f1-score,support
Benign,0.9888479775370189,0.9986089561821198,0.9937044973580185,74764.0
Bot,0.9906015037593985,0.996219281663516,0.9934024505183789,1587.0
Brute Force -Web,0.0,0.0,0.0,3.0
Brute Force -XSS,0.0,0.0,0.0,1.0
DDOS attack-HOIC,0.9994743758212877,1.0,0.9997371188222923,3803.0
DDOS attack-LOIC-UDP,0.875,0.7777777777777778,0.8235294117647058,9.0
DDoS attacks-LOIC-HTTP,0.9993738259236068,0.9993738259236068,0.9993738259236068,3194.0
DoS attacks-GoldenEye,0.9913793103448276,1.0,0.9956709956709957,230.0
DoS attacks-Hulk,1.0,0.9996095275283092,0.9998047256395235,2561.0
DoS attacks-SlowHTTPTest,0.7604790419161677,0.49097938144329895,0.5967110415035238,776.0
DoS attacks-Slowloris,1.0,0.9672131147540983,0.9833333333333333,61.0
FTP-BruteForce,0.7067557535263549,0.8880597014925373,0.7871021083092187,1072.0
Infilteration,0.44871794871794873,0.0779510022271715,0.13282732447817835,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,1.0,1.0,1.0,1040.0
accuracy,0.9837222222222223,0.9837222222222223,0.9837222222222223,0.9837222222222223
macro avg,0.7173753158364408,0.6797195045994957,0.6870131222214517,90000.0
weighted avg,0.9793770077103049,0.9837222222222223,0.979853916527008,90000.0
