class,precision,recall,f1-score,support
Benign,0.9748642643984908,0.991854368412605,0.983285929285094,74764.0
Bot,0.7686350435624395,0.5003150598613737,0.6061068702290077,1587.0
Brute Force -Web,0.0,0.0,0.0,3.0
Brute Force -XSS,0.0,0.0,0.0,1.0
DDOS attack-HOIC,0.9225916039796166,0.9997370496976071,0.9596163553760727,3803.0
DDOS attack-LOIC-UDP,0.7272727272727273,0.8888888888888888,0.8,9.0
DDoS attacks-LOIC-HTTP,0.997980477953551,0.9283030682529744,0.9618815896188159,3194.0
DoS attacks-GoldenEye,0.9864864864864865,0.9521739130434783,0.9690265486725663,230.0
DoS attacks-Hulk,0.9922480620155039,0.9996095275283092,0.9959151915969656,2561.0
DoS attacks-SlowHTTPTest,0.6416275430359938,0.5283505154639175,0.5795053003533569,776.0
DoS attacks-Slowloris,0.9574468085106383,0.7377049180327869,0.8333333333333334,61.0
FTP-BruteForce,0.6989335520918786,0.7947761194029851,0.7437800087298123,1072.0
Infilteration,0.24324324324324326,0.01002227171492205,0.019251336898395723,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,0.9866920152091255,0.9980769230769231,0.9923518164435946,1040.0
accuracy,0.9650777777777778,0.9650777777777778,0.9650777777777778,0.9650777777777778
macro avg,0.6598681218506464,0.6219875082251181,0.6296036187024677,90000.0
weighted avg,0.9569497994689671,0.9650777777777778,0.9591751303793156,90000.0
