class,catboost,lightgbm,logistic_regression,mlp,random_forest,stacking,xgboost,support
Benign,0.9936168515120084,0.9937044973580184,0.983285929285094,0.9926879204445744,0.9931914836974968,0.993777493827407,0.9936926147704592,74764
Bot,0.9909176323207016,0.9934024505183788,0.6061068702290077,0.9553178099433606,0.9816827072337784,0.9933941491034916,0.9937225360954176,1587
Brute Force -Web,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Brute Force -XSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
DDOS attack-HOIC,1.0,0.9997371188222924,0.9596163553760728,0.99737739312877,0.9955462405030128,0.9998685421322466,1.0,3803
DDOS attack-LOIC-UDP,0.8888888888888888,0.8235294117647058,0.8,0.8571428571428571,0.8888888888888888,0.8235294117647058,0.8235294117647058,9
DDoS attacks-LOIC-HTTP,0.9993736298152208,0.9993738259236068,0.961881589618816,0.9907218116055984,0.9968652037617556,0.9993738259236068,0.9992171598559574,3194
DoS attacks-GoldenEye,0.9934924078091106,0.9956709956709956,0.9690265486725664,0.9890590809628008,0.9956521739130436,0.9978308026030368,0.9956709956709956,230
DoS attacks-Hulk,0.9980506822612084,0.9998047256395236,0.9959151915969656,0.997078870496592,0.998439937597504,1.0,1.0,2561
DoS attacks-SlowHTTPTest,0.5930599369085173,0.5967110415035238,0.5795053003533569,0.6079759217456734,0.5949764521193093,0.5987460815047022,0.5987460815047022,776
DoS attacks-Slowloris,0.8828828828828829,0.9833333333333332,0.8333333333333334,0.8807339449541285,0.9672131147540984,0.9833333333333332,0.9917355371900828,61
FTP-BruteForce,0.7874794069192751,0.7871021083092187,0.7437800087298123,0.7798901563160119,0.786952931461602,0.7884297520661157,0.7884297520661157,1072
Infilteration,0.0174291938997821,0.1328273244781783,0.0192513368983957,0.0,0.1036889332003988,0.150375939849624,0.0962671905697446,898
SQL Injection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SSH-Bruteforce,1.0,1.0,0.9923518164435946,0.9990384615384617,1.0,1.0,1.0,1040
