,Benign,Bot,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DDoS attacks-LOIC-HTTP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,FTP-BruteForce,Infilteration,SQL Injection,SSH-Bruteforce
Benign,74615,51,0,0,31,0,5,1,7,0,1,0,53,0,0
Bot,6,1581,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force -Web,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force -XSS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DDOS attack-HOIC,3,0,0,0,3800,0,0,0,0,0,0,0,0,0,0
DDOS attack-LOIC-UDP,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0
DDoS attacks-LOIC-HTTP,13,0,0,0,0,1,3180,0,0,0,0,0,0,0,0
DoS attacks-GoldenEye,0,0,0,0,0,0,0,229,0,0,1,0,0,0,0
DoS attacks-Hulk,1,0,0,0,0,0,0,0,2560,0,0,0,0,0,0
DoS attacks-SlowHTTPTest,0,0,0,0,0,0,0,0,0,379,0,397,0,0,0
DoS attacks-Slowloris,2,0,0,0,0,0,0,0,0,0,59,0,0,0,0
FTP-BruteForce,0,0,0,0,0,0,0,0,0,119,0,953,0,0,0
Infilteration,845,1,0,0,0,0,0,0,0,0,0,0,52,0,0
SQL Injection,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSH-Bruteforce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040
