class,precision,recall,f1-score,support
Benign,0.9889532034385472,0.9986490824460971,0.993777493827407,74764.0
Bot,0.9918341708542714,0.9949590422180214,0.9933941491034917,1587.0
Brute Force -Web,0.0,0.0,0.0,3.0
Brute Force -XSS,0.0,0.0,0.0,1.0
DDOS attack-HOIC,0.9997371188222923,1.0,0.9998685421322466,3803.0
DDOS attack-LOIC-UDP,0.875,0.7777777777777778,0.8235294117647058,9.0
DDoS attacks-LOIC-HTTP,0.9993738259236068,0.9993738259236068,0.9993738259236068,3194.0
DoS attacks-GoldenEye,0.9956709956709957,1.0,0.9978308026030369,230.0
DoS attacks-Hulk,1.0,1.0,1.0,2561.0
DoS attacks-SlowHTTPTest,0.764,0.49226804123711343,0.5987460815047022,776.0
DoS attacks-Slowloris,1.0,0.9672131147540983,0.9833333333333333,61.0
FTP-BruteForce,0.7077151335311572,0.8899253731343284,0.7884297520661157,1072.0
Infilteration,0.4819277108433735,0.08908685968819599,0.15037593984962405,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,1.0,1.0,1.0,1040.0
accuracy,0.9838888888888889,0.9838888888888889,0.9838888888888889,0.9838888888888889
macro avg,0.7202808106056164,0.680616874478616,0.6885772888072179,90000.0
weighted avg,0.979881371448817,0.9838888888888889,0.9801394950994871,90000.0
