,Benign,Bot,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DDoS attacks-LOIC-HTTP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,FTP-BruteForce,Infilteration,SQL Injection,SSH-Bruteforce
Benign,74676,15,0,0,0,0,0,2,0,0,0,0,71,0,0
Bot,4,1583,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force -Web,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force -XSS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DDOS attack-HOIC,0,0,0,0,3803,0,0,0,0,0,0,0,0,0,0
DDOS attack-LOIC-UDP,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0
DDoS attacks-LOIC-HTTP,2,0,0,0,0,1,3191,0,0,0,0,0,0,0,0
DoS attacks-GoldenEye,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0
DoS attacks-Hulk,0,0,0,0,0,0,0,0,2561,0,0,0,0,0,0
DoS attacks-SlowHTTPTest,0,0,0,0,0,0,0,0,0,382,0,394,0,0,0
DoS attacks-Slowloris,1,0,0,0,0,0,0,0,0,0,60,0,0,0,0
FTP-BruteForce,0,0,0,0,0,0,0,0,0,118,0,954,0,0,0
Infilteration,849,0,0,0,0,0,0,0,0,0,0,0,49,0,0
SQL Injection,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSH-Bruteforce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040
