class,precision,recall,f1-score,support
Benign,0.9886147002753654,0.9988229629233321,0.9936926147704591,74764.0
Bot,0.9899937460913071,0.9974795211090107,0.9937225360954175,1587.0
Brute Force -Web,0.0,0.0,0.0,3.0
Brute Force -XSS,0.0,0.0,0.0,1.0
DDOS attack-HOIC,1.0,1.0,1.0,3803.0
DDOS attack-LOIC-UDP,0.875,0.7777777777777778,0.8235294117647058,9.0
DDoS attacks-LOIC-HTTP,0.9993736298152208,0.9990607388854101,0.9992171598559574,3194.0
DoS attacks-GoldenEye,0.9913793103448276,1.0,0.9956709956709957,230.0
DoS attacks-Hulk,1.0,1.0,1.0,2561.0
DoS attacks-SlowHTTPTest,0.764,0.49226804123711343,0.5987460815047022,776.0
DoS attacks-Slowloris,1.0,0.9836065573770492,0.9917355371900827,61.0
FTP-BruteForce,0.7077151335311572,0.8899253731343284,0.7884297520661157,1072.0
Infilteration,0.4083333333333333,0.05456570155902005,0.0962671905697446,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,1.0,1.0,1.0,1040.0
accuracy,0.9837333333333333,0.9837333333333333,0.9837333333333333,0.9837333333333333
macro avg,0.7149606568927475,0.6795671116002029,0.6854007519658787,90000.0
weighted avg,0.9788335455324687,0.9837333333333333,0.9795350608459434,90000.0
