class,precision,recall,f1-score,support
Benign,0.9936728883264789,0.8402439676849821,0.9105403525046383,74764.0
Bot,0.9378330373001776,0.998109640831758,0.967032967032967,1587.0
Brute Force -Web,0.023255813953488372,0.3333333333333333,0.043478260869565216,3.0
Brute Force -XSS,0.0,0.0,0.0,1.0
DDOS attack-HOIC,0.9867669953295277,1.0,0.9933394279744026,3803.0
DDOS attack-LOIC-UDP,0.8181818181818182,1.0,0.9,9.0
DDoS attacks-LOIC-HTTP,0.9643504531722055,0.9993738259236068,0.981549815498155,3194.0
DoS attacks-GoldenEye,0.9913793103448276,1.0,0.9956709956709957,230.0
DoS attacks-Hulk,0.9961104628549202,1.0,0.9980514419329696,2561.0
DoS attacks-SlowHTTPTest,0.756385068762279,0.4961340206185567,0.5992217898832685,776.0
DoS attacks-Slowloris,0.6451612903225806,0.9836065573770492,0.7792207792207793,61.0
FTP-BruteForce,0.7082089552238806,0.8852611940298507,0.7868988391376451,1072.0
Infilteration,0.041225165562913904,0.5545657015590201,0.07674526121128063,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,0.9952153110047847,1.0,0.9976019184652278,1040.0
accuracy,0.8570222222222222,0.8570222222222222,0.8570222222222222,0.8570222222222222
macro avg,0.6571831046893255,0.7393752160905438,0.668623456626793,90000.0
weighted avg,0.976179493316138,0.8570222222222222,0.9086534674112462,90000.0
