class,precision,recall,f1-score,support
Benign,0.9914738124238733,0.9581081804076829,0.9745054825456425,74764.0
Bot,0.9881398252184769,0.9974795211090107,0.9927877077453747,1587.0
Brute Force -Web,0.1,0.3333333333333333,0.15384615384615385,3.0
Brute Force -XSS,0.0,0.0,0.0,1.0
DDOS attack-HOIC,0.9994743758212877,1.0,0.9997371188222923,3803.0
DDOS attack-LOIC-UDP,0.875,0.7777777777777778,0.8235294117647058,9.0
DDoS attacks-LOIC-HTTP,0.9993738259236068,0.9993738259236068,0.9993738259236068,3194.0
DoS attacks-GoldenEye,0.9956709956709957,1.0,0.9978308026030369,230.0
DoS attacks-Hulk,1.0,1.0,1.0,2561.0
DoS attacks-SlowHTTPTest,0.751953125,0.4961340206185567,0.5978260869565217,776.0
DoS attacks-Slowloris,0.9523809523809523,0.9836065573770492,0.967741935483871,61.0
FTP-BruteForce,0.7075542258788332,0.8824626865671642,0.7853881278538812,1072.0
Infilteration,0.0861611094718206,0.32516703786191536,0.13622579892698858,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,1.0,1.0,1.0,1040.0
accuracy,0.9525777777777777,0.9525777777777777,0.9525777777777777,0.9525777777777777
macro avg,0.6964788165193231,0.7168961960650732,0.695252830164805,90000.0
weighted avg,0.9778154229386211,0.9525777777777777,0.96392298646578,90000.0
