class,precision,recall,f1-score,support
Benign,0.9923034400646341,0.31212883205820985,0.47488324294624595,74764.0
Bot,0.15375666505089675,0.9993698802772527,0.2665098302806251,1587.0
Brute Force -Web,0.0033783783783783786,0.6666666666666666,0.0067226890756302525,3.0
Brute Force -XSS,0.0,0.0,0.0,1.0
DDOS attack-HOIC,0.7999579301640724,1.0,0.8888629192473998,3803.0
DDOS attack-LOIC-UDP,0.6428571428571429,1.0,0.782608695652174,9.0
DDoS attacks-LOIC-HTTP,0.5865291025890598,0.9433312460864121,0.7233225303084864,3194.0
DoS attacks-GoldenEye,0.06556789681117879,0.7956521739130434,0.1211519364448858,230.0
DoS attacks-Hulk,0.9151515151515152,0.9433814916048419,0.929052105364353,2561.0
DoS attacks-SlowHTTPTest,0.6156156156156156,0.5283505154639175,0.5686546463245492,776.0
DoS attacks-Slowloris,0.09077380952380952,1.0,0.1664392905866303,61.0
FTP-BruteForce,0.6876513317191283,0.7947761194029851,0.7373431414971874,1072.0
Infilteration,0.016092847955490413,0.5991091314031181,0.03134376183401789,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,0.27644869750132905,1.0,0.4331528529779259,1040.0
accuracy,0.4138777777777778,0.4138777777777778,0.4138777777777778,0.4138777777777778
macro avg,0.3897389582254833,0.7055177371250966,0.40866984283600744,90000.0
weighted avg,0.9248350538785438,0.4138777777777778,0.5083608563191422,90000.0
