class,precision,recall,f1-score,support
Benign,0.9867322127074744,0.998715959552726,0.9926879204445744,74764.0
Bot,0.9541169076052797,0.9565217391304348,0.9553178099433606,1587.0
Brute Force -Web,0.0,0.0,0.0,3.0
Brute Force -XSS,0.0,0.0,0.0,1.0
DDOS attack-HOIC,0.9947685064085796,1.0,0.99737739312877,3803.0
DDOS attack-LOIC-UDP,0.75,1.0,0.8571428571428571,9.0
DDoS attacks-LOIC-HTTP,0.995260663507109,0.9862241703193487,0.9907218116055984,3194.0
DoS attacks-GoldenEye,0.9955947136563876,0.9826086956521739,0.9890590809628009,230.0
DoS attacks-Hulk,0.9945609945609946,0.9996095275283092,0.997078870496592,2561.0
DoS attacks-SlowHTTPTest,0.7305605786618445,0.520618556701031,0.6079759217456734,776.0
DoS attacks-Slowloris,1.0,0.7868852459016393,0.8807339449541285,61.0
FTP-BruteForce,0.7127413127413127,0.8610074626865671,0.7798901563160119,1072.0
Infilteration,0.0,0.0,0.0,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,0.9990384615384615,0.9990384615384615,0.9990384615384615,1040.0
accuracy,0.9816444444444444,0.9816444444444444,0.9816444444444444,0.9816444444444444
macro avg,0.6742249567591629,0.6727486546007128,0.6698016152185886,90000.0
weighted avg,0.9717997673317411,0.9816444444444444,0.9764452659555598,90000.0
