class,precision,recall,f1-score,support
Benign,0.9905550436338013,0.97772992349259,0.9841007000538503,74764.0
Bot,0.9587628865979382,0.996219281663516,0.977132262051916,1587.0
Brute Force -Web,0.0,0.0,0.0,3.0
Brute Force -XSS,0.0,0.0,0.0,1.0
DDOS attack-HOIC,0.99113197704747,0.9992111490928215,0.9951551656409585,3803.0
DDOS attack-LOIC-UDP,0.9,1.0,0.9473684210526315,9.0
DDoS attacks-LOIC-HTTP,0.998431126451208,0.9962429555416406,0.9973358407773076,3194.0
DoS attacks-GoldenEye,0.9956709956709957,1.0,0.9978308026030369,230.0
DoS attacks-Hulk,0.9968847352024922,0.9996095275283092,0.9982452719828426,2561.0
DoS attacks-SlowHTTPTest,0.5366197183098591,0.9819587628865979,0.6939890710382514,776.0
DoS attacks-Slowloris,0.967741935483871,0.9836065573770492,0.975609756097561,61.0
FTP-BruteForce,0.9673659673659674,0.3871268656716418,0.5529646902065289,1072.0
Infilteration,0.1262683201803833,0.24944320712694878,0.16766467065868262,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,1.0,1.0,1.0,1040.0
accuracy,0.9662444444444445,0.9662444444444445,0.9662444444444445,0.9662444444444445
macro avg,0.6952955137295992,0.7047432153587411,0.6858264434775712,90000.0
weighted avg,0.9777073163748257,0.9662444444444445,0.9696889076379388,90000.0
