class,precision,recall,f1-score,support
Benign,0.9923644138051398,0.9126317479000589,0.9508294953351775,74764.0
Bot,0.9826410415375078,0.9987397605545053,0.990625,1587.0
Brute Force -Web,0.0,0.0,0.0,3.0
Brute Force -XSS,0.0,0.0,0.0,1.0
DDOS attack-HOIC,1.0,1.0,1.0,3803.0
DDOS attack-LOIC-UDP,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
DDoS attacks-LOIC-HTTP,0.9990610328638497,0.9993738259236068,0.9992174049146971,3194.0
DoS attacks-GoldenEye,0.9871244635193133,1.0,0.9935205183585313,230.0
DoS attacks-Hulk,0.9996095275283092,0.9996095275283092,0.9996095275283092,2561.0
DoS attacks-SlowHTTPTest,0.751953125,0.4961340206185567,0.5978260869565217,776.0
DoS attacks-Slowloris,0.9230769230769231,0.9836065573770492,0.9523809523809523,61.0
FTP-BruteForce,0.7075542258788332,0.8824626865671642,0.7853881278538812,1072.0
Infilteration,0.05517542582617557,0.4220489977728285,0.09759237800952748,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,1.0,1.0,1.0,1040.0
accuracy,0.9157666666666666,0.9157666666666666,0.9157666666666666,0.9157666666666666
macro avg,0.6784225304542554,0.6981589934679904,0.6763178179410251,90000.0
weighted avg,0.9780943656896197,0.9157666666666666,0.9437947853871624,90000.0
