class,precision,recall,f1-score,support
Benign,0.9878292389305605,0.998689296366141,0.9932295823357276,74769.0
Bot,0.987460815047022,0.9924385633270322,0.9899434318038969,1587.0
Brute Force -Web,0.0,0.0,0.0,4.0
Brute Force -XSS,1.0,0.5,0.6666666666666666,2.0
DDOS attack-HOIC,0.9986862848134525,0.999211356466877,0.9989487516425756,3804.0
DDOS attack-LOIC-UDP,1.0,1.0,1.0,10.0
DDoS attacks-LOIC-HTTP,0.9993726474278545,0.9971830985915493,0.998276672411092,3195.0
DoS attacks-GoldenEye,0.9913419913419913,0.9913419913419913,0.9913419913419913,231.0
DoS attacks-Hulk,0.993791230112534,1.0,0.9968859478396264,2561.0
DoS attacks-SlowHTTPTest,0.7715355805243446,0.5309278350515464,0.6290076335877862,776.0
DoS attacks-Slowloris,0.9347826086956522,0.7049180327868853,0.8037383177570093,61.0
FTP-BruteForce,0.7231939163498099,0.8871268656716418,0.7968160871386678,1072.0
Infilteration,0.3246753246753247,0.02783964365256125,0.05128205128205128,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,1.0,1.0,1.0,1040.0
accuracy,0.9832687116019153,0.9832687116019153,0.9832687116019153,0.9832687116019153
macro avg,0.7808446425279031,0.7086451122170817,0.7277424755871393,90011.0
weighted avg,0.9772889749570832,0.9832687116019153,0.97870318318646,90011.0
