class,precision,recall,f1-score,support
Benign,0.9883490003971932,0.9984084313017427,0.993353249189948,74769.0
Bot,0.9899749373433584,0.9955891619407687,0.9927741124725102,1587.0
Brute Force -Web,1.0,0.25,0.4,4.0
Brute Force -XSS,0.0,0.0,0.0,2.0
DDOS attack-HOIC,1.0,0.999211356466877,0.9996055226824457,3804.0
DDOS attack-LOIC-UDP,1.0,0.8,0.8888888888888888,10.0
DDoS attacks-LOIC-HTTP,0.9990613266583229,0.9993740219092332,0.9992176498200595,3195.0
DoS attacks-GoldenEye,0.9741379310344828,0.9783549783549783,0.9762419006479481,231.0
DoS attacks-Hulk,1.0,1.0,1.0,2561.0
DoS attacks-SlowHTTPTest,0.7373029772329247,0.5425257731958762,0.6250927988121752,776.0
DoS attacks-Slowloris,0.9523809523809523,0.6557377049180327,0.7766990291262136,61.0
FTP-BruteForce,0.7220046985121378,0.8600746268656716,0.7850148999574287,1072.0
Infilteration,0.34615384615384615,0.060133630289532294,0.10246679316888045,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,1.0,1.0,1.0,1040.0
accuracy,0.9831798335758963,0.9831798335758963,0.9831798335758963,0.9831798335758963
macro avg,0.7806243779808812,0.6759606456828476,0.7026236563177665,90011.0
weighted avg,0.9778811587037485,0.9831798335758963,0.979275466090253,90011.0
