class,precision,recall,f1-score,support
Benign,0.9862852612803066,0.9983683077211144,0.9922900022598269,74769.0
Bot,0.9678249678249679,0.9477000630119723,0.9576567971983445,1587.0
Brute Force -Web,0.0,0.0,0.0,4.0
Brute Force -XSS,1.0,0.5,0.6666666666666666,2.0
DDOS attack-HOIC,0.9963312368972747,0.9994742376445847,0.9979002624671915,3804.0
DDOS attack-LOIC-UDP,1.0,1.0,1.0,10.0
DDoS attacks-LOIC-HTTP,0.9965145754119138,0.9843505477308294,0.990395213352228,3195.0
DoS attacks-GoldenEye,1.0,0.987012987012987,0.9934640522875817,231.0
DoS attacks-Hulk,0.9891808346213292,0.9996095275283092,0.9943678384152262,2561.0
DoS attacks-SlowHTTPTest,0.7536496350364964,0.5322164948453608,0.6238670694864048,776.0
DoS attacks-Slowloris,1.0,0.5573770491803278,0.7157894736842105,61.0
FTP-BruteForce,0.7207692307692307,0.8740671641791045,0.7900505902192243,1072.0
Infilteration,0.27450980392156865,0.015590200445434299,0.029504741833508957,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,1.0,1.0,1.0,1040.0
accuracy,0.9813800535490107,0.9813800535490107,0.9813800535490107,0.9813800535490107
macro avg,0.7790043697175392,0.6930511052866684,0.716796847191361,90011.0
weighted avg,0.9747109539030062,0.9813800535490107,0.97656143004183,90011.0
