,Benign,Bot,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DDoS attacks-LOIC-HTTP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,FTP-BruteForce,Infilteration,SQL Injection,SSH-Bruteforce
Benign,74616,29,0,0,15,0,6,2,15,0,0,0,86,0,0
Bot,12,1575,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force -Web,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force -XSS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DDOS attack-HOIC,22,0,0,0,3782,0,0,0,0,0,0,0,0,0,0
DDOS attack-LOIC-UDP,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
DDoS attacks-LOIC-HTTP,9,0,0,0,0,0,3186,0,0,0,0,0,0,0,0
DoS attacks-GoldenEye,0,0,0,0,0,0,0,229,0,0,2,0,0,0,0
DoS attacks-Hulk,0,0,0,0,0,0,0,0,2561,0,0,0,0,0,0
DoS attacks-SlowHTTPTest,0,0,0,0,0,0,0,0,0,409,0,367,0,0,0
DoS attacks-Slowloris,22,0,0,0,0,0,0,0,0,0,39,0,0,0,0
FTP-BruteForce,0,0,0,0,0,0,0,0,0,120,0,952,0,0,0
Infilteration,846,0,0,0,0,0,0,0,0,0,0,0,52,0,0
SQL Injection,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSH-Bruteforce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040
