class,precision,recall,f1-score,support
Benign,0.9878596110309401,0.9979536973879549,0.9928809995874972,74769.0
Bot,0.9813084112149533,0.9924385633270322,0.9868421052631579,1587.0
Brute Force -Web,0.0,0.0,0.0,4.0
Brute Force -XSS,0.0,0.0,0.0,2.0
DDOS attack-HOIC,0.996049512773242,0.9942166140904312,0.9951322194448099,3804.0
DDOS attack-LOIC-UDP,1.0,1.0,1.0,10.0
DDoS attacks-LOIC-HTTP,0.9981203007518797,0.9971830985915493,0.9976514795678723,3195.0
DoS attacks-GoldenEye,0.9913419913419913,0.9913419913419913,0.9913419913419913,231.0
DoS attacks-Hulk,0.9941770186335404,1.0,0.9970800077866458,2561.0
DoS attacks-SlowHTTPTest,0.7731568998109641,0.5270618556701031,0.6268199233716475,776.0
DoS attacks-Slowloris,0.9512195121951219,0.639344262295082,0.7647058823529411,61.0
FTP-BruteForce,0.7217589082638363,0.8880597014925373,0.7963195315767462,1072.0
Infilteration,0.37681159420289856,0.05790645879732739,0.10038610038610038,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,1.0,1.0,1.0,1040.0
accuracy,0.9826687849262868,0.9826687849262868,0.9826687849262868,0.9826687849262868
macro avg,0.7181202506812913,0.6723670828662673,0.6832773493786273,90011.0
weighted avg,0.9775667669921775,0.9826687849262868,0.9786048349034687,90011.0
