class,precision,recall,f1-score,support
Benign,0.9875292283710054,0.9997860075699823,0.9936198210891497,74769.0
Bot,0.9905838041431262,0.994328922495274,0.9924528301886792,1587.0
Brute Force -Web,0.0,0.0,0.0,4.0
Brute Force -XSS,0.0,0.0,0.0,2.0
DDOS attack-HOIC,1.0,0.9989484752891693,0.9994739610731194,3804.0
DDOS attack-LOIC-UDP,1.0,0.6,0.75,10.0
DDoS attacks-LOIC-HTTP,0.9984365228267668,0.9993740219092332,0.9989050524010636,3195.0
DoS attacks-GoldenEye,1.0,0.9826839826839827,0.9912663755458515,231.0
DoS attacks-Hulk,1.0,1.0,1.0,2561.0
DoS attacks-SlowHTTPTest,0.7433628318584071,0.5412371134020618,0.6263982102908278,776.0
DoS attacks-Slowloris,0.9512195121951219,0.639344262295082,0.7647058823529411,61.0
FTP-BruteForce,0.7225253312548714,0.8647388059701493,0.7872611464968153,1072.0
Infilteration,0.0,0.0,0.0,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,1.0,1.0,1.0,1040.0
accuracy,0.9837019919787582,0.9837019919787582,0.9837019919787582,0.9837019919787582
macro avg,0.6929104820432866,0.641362772774329,0.6602722186292298,90011.0
weighted avg,0.9738149244708936,0.9837019919787582,0.9784875424856126,90011.0
