class,precision,recall,f1-score,support
Benign,0.9885183811844475,0.9983415586673622,0.9934056866802856,74769.0
Bot,0.9899749373433584,0.9955891619407687,0.9927741124725102,1587.0
Brute Force -Web,1.0,0.25,0.4,4.0
Brute Force -XSS,0.0,0.0,0.0,2.0
DDOS attack-HOIC,1.0,0.9989484752891693,0.9994739610731194,3804.0
DDOS attack-LOIC-UDP,1.0,0.8,0.8888888888888888,10.0
DDoS attacks-LOIC-HTTP,0.9990613266583229,0.9993740219092332,0.9992176498200595,3195.0
DoS attacks-GoldenEye,0.9703389830508474,0.9913419913419913,0.9807280513918629,231.0
DoS attacks-Hulk,1.0,1.0,1.0,2561.0
DoS attacks-SlowHTTPTest,0.7675276752767528,0.5360824742268041,0.6312594840667678,776.0
DoS attacks-Slowloris,0.84,0.6885245901639344,0.7567567567567568,61.0
FTP-BruteForce,0.7243491577335375,0.8824626865671642,0.7956265769554247,1072.0
Infilteration,0.3803680981595092,0.06904231625835189,0.11687087653157399,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,1.0,1.0,1.0,1040.0
accuracy,0.9834686871604582,0.9834686871604582,0.9834686871604582,0.9834686871604582
macro avg,0.7773425706271184,0.680647151757652,0.7036668029758165,90011.0
weighted avg,0.9785657823749798,0.9834686871604582,0.9796347109927603,90011.0
