class,precision,recall,f1-score,support
Benign,0.9882064857710126,0.9985288020436277,0.9933408285047133,74769.0
Bot,0.9887288666249218,0.9949590422180214,0.9918341708542714,1587.0
Brute Force -Web,1.0,0.5,0.6666666666666666,4.0
Brute Force -XSS,1.0,0.5,0.6666666666666666,2.0
DDOS attack-HOIC,0.9994740993952143,0.999211356466877,0.999342710661233,3804.0
DDOS attack-LOIC-UDP,1.0,1.0,1.0,10.0
DDoS attacks-LOIC-HTTP,0.9993742177722152,0.9996870109546165,0.9995305898920357,3195.0
DoS attacks-GoldenEye,0.9956521739130435,0.9913419913419913,0.9934924078091106,231.0
DoS attacks-Hulk,0.9949494949494949,1.0,0.9974683544303797,2561.0
DoS attacks-SlowHTTPTest,0.7729831144465291,0.5309278350515464,0.6294881588999236,776.0
DoS attacks-Slowloris,0.9361702127659575,0.7213114754098361,0.8148148148148148,61.0
FTP-BruteForce,0.7231939163498099,0.8871268656716418,0.7968160871386678,1072.0
Infilteration,0.34513274336283184,0.043429844097995544,0.0771513353115727,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,1.0,1.0,1.0,1040.0
accuracy,0.9834575774072057,0.9834575774072057,0.9834575774072057,0.9834575774072057
macro avg,0.8495910216900687,0.7444349482170768,0.775107519443337,90011.0
weighted avg,0.9779640179114089,0.9834575774072057,0.9792115364023021,90011.0
