class,precision,recall,f1-score,support
Benign,0.9882359168442086,0.9988096671080261,0.9934946587023906,74769.0
Bot,0.989355040701315,0.9955891619407687,0.992462311557789,1587.0
Brute Force -Web,0.0,0.0,0.0,4.0
Brute Force -XSS,0.0,0.0,0.0,2.0
DDOS attack-HOIC,1.0,0.999211356466877,0.9996055226824457,3804.0
DDOS attack-LOIC-UDP,1.0,0.9,0.9473684210526315,10.0
DDoS attacks-LOIC-HTTP,0.9990613266583229,0.9993740219092332,0.9992176498200595,3195.0
DoS attacks-GoldenEye,0.9744680851063829,0.9913419913419913,0.9828326180257511,231.0
DoS attacks-Hulk,1.0,1.0,1.0,2561.0
DoS attacks-SlowHTTPTest,0.7662337662337663,0.5322164948453608,0.6281368821292775,776.0
DoS attacks-Slowloris,0.9361702127659575,0.7213114754098361,0.8148148148148148,61.0
FTP-BruteForce,0.7226890756302521,0.8824626865671642,0.7946241075178496,1072.0
Infilteration,0.35185185185185186,0.042316258351893093,0.07554671968190854,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,1.0,1.0,1.0,1040.0
accuracy,0.9835908944462344,0.9835908944462344,0.9835908944462344,0.9835908944462344
macro avg,0.7152043517194705,0.6708422075960766,0.6818735803989945,90011.0
weighted avg,0.9780361313624474,0.9835908944462344,0.9792910151555294,90011.0
