,Benign,Bot,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DDoS attacks-LOIC-HTTP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,FTP-BruteForce,Infilteration,SQL Injection,SSH-Bruteforce
Benign,74362,23,0,0,283,0,3,3,28,7,0,0,44,0,16
Bot,803,784,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force -Web,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force -XSS,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DDOS attack-HOIC,5,0,0,0,3799,0,0,0,0,0,0,0,0,0,0
DDOS attack-LOIC-UDP,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0
DDoS attacks-LOIC-HTTP,203,0,0,0,0,0,2992,0,0,0,0,0,0,0,0
DoS attacks-GoldenEye,2,0,0,0,0,0,3,219,5,0,2,0,0,0,0
DoS attacks-Hulk,3,0,0,0,0,0,0,0,2558,0,0,0,0,0,0
DoS attacks-SlowHTTPTest,0,0,0,0,0,0,0,0,0,450,0,326,0,0,0
DoS attacks-Slowloris,26,0,0,0,0,0,0,0,1,0,34,0,0,0,0
FTP-BruteForce,0,0,0,0,0,0,0,0,0,232,0,840,0,0,0
Infilteration,877,3,0,0,3,0,0,0,3,5,0,0,7,0,0
SQL Injection,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSH-Bruteforce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040
