class,precision,recall,f1-score,support
Benign,0.9866834170854272,0.9979135738073266,0.992266721635226,74769.0
Bot,0.9555273189326556,0.9477000630119723,0.9515975956975641,1587.0
Brute Force -Web,0.0,0.0,0.0,4.0
Brute Force -XSS,0.0,0.0,0.0,2.0
DDOS attack-HOIC,0.9947671376242805,0.9994742376445847,0.997115132441647,3804.0
DDOS attack-LOIC-UDP,0.0,0.0,0.0,10.0
DDoS attacks-LOIC-HTTP,0.9918648310387985,0.9921752738654147,0.9920200281646064,3195.0
DoS attacks-GoldenEye,0.9956331877729258,0.987012987012987,0.991304347826087,231.0
DoS attacks-Hulk,0.9910956252419667,0.9996095275283092,0.995334370139969,2561.0
DoS attacks-SlowHTTPTest,0.7633262260127932,0.46134020618556704,0.5751004016064257,776.0
DoS attacks-Slowloris,0.9210526315789473,0.5737704918032787,0.7070707070707071,61.0
FTP-BruteForce,0.696881798404641,0.8964552238805971,0.7841697266421869,1072.0
Infilteration,0.15,0.01002227171492205,0.018789144050104383,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,1.0,1.0,1.0,1040.0
accuracy,0.9807690171201298,0.9807690171201298,0.9807690171201298,0.9807690171201298
macro avg,0.6297888115794957,0.5910315904303307,0.6003178783516349,90011.0
weighted avg,0.9730069258903957,0.9807690171201298,0.9757525224414993,90011.0
