class,precision,recall,f1-score,support
Benign,0.9881401474539703,0.998448554882371,0.9932676060085951,74769.0
Bot,0.98625,0.994328922495274,0.9902729839974898,1587.0
Brute Force -Web,0.0,0.0,0.0,4.0
Brute Force -XSS,1.0,0.5,0.6666666666666666,2.0
DDOS attack-HOIC,0.9994721562417525,0.9955310199789695,0.9974976952456209,3804.0
DDOS attack-LOIC-UDP,1.0,0.9,0.9473684210526315,10.0
DDoS attacks-LOIC-HTTP,0.9987484355444305,0.9990610328638497,0.9989047097480832,3195.0
DoS attacks-GoldenEye,0.9956521739130435,0.9913419913419913,0.9934924078091106,231.0
DoS attacks-Hulk,0.999219664455716,1.0,0.9996096799375488,2561.0
DoS attacks-SlowHTTPTest,0.7433628318584071,0.5412371134020618,0.6263982102908278,776.0
DoS attacks-Slowloris,0.9574468085106383,0.7377049180327869,0.8333333333333334,61.0
FTP-BruteForce,0.7225253312548714,0.8647388059701493,0.7872611464968153,1072.0
Infilteration,0.37410071942446044,0.05790645879732739,0.10028929604628736,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,1.0,1.0,1.0,1040.0
accuracy,0.9831465043161391,0.9831465043161391,0.9831465043161391,0.9831465043161391
macro avg,0.7843278845771526,0.7053532545176522,0.7289574771088674,90011.0
weighted avg,0.9779600648335054,0.9831465043161391,0.9791514023297274,90011.0
