class,precision,recall,f1-score,support
Benign,0.9874247067526154,0.9997726330431062,0.9935603065001695,74769.0
Bot,0.9899749373433584,0.9955891619407687,0.9927741124725102,1587.0
Brute Force -Web,0.0,0.0,0.0,4.0
Brute Force -XSS,0.0,0.0,0.0,2.0
DDOS attack-HOIC,1.0,0.9965825446898002,0.9982883475971034,3804.0
DDOS attack-LOIC-UDP,1.0,0.6,0.75,10.0
DDoS attacks-LOIC-HTTP,0.99812382739212,0.9990610328638497,0.998592210229939,3195.0
DoS attacks-GoldenEye,1.0,0.9913419913419913,0.9956521739130435,231.0
DoS attacks-Hulk,1.0,1.0,1.0,2561.0
DoS attacks-SlowHTTPTest,0.7433628318584071,0.5412371134020618,0.6263982102908278,776.0
DoS attacks-Slowloris,0.9473684210526315,0.5901639344262295,0.7272727272727273,61.0
FTP-BruteForce,0.7225253312548714,0.8647388059701493,0.7872611464968153,1072.0
Infilteration,0.0,0.0,0.0,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,1.0,1.0,1.0,1040.0
accuracy,0.9835908944462344,0.9835908944462344,0.9835908944462344,0.9835908944462344
macro avg,0.6925853370436003,0.6385658145118638,0.6579866156515425,90011.0
weighted avg,0.9737036577704901,0.9835908944462344,0.9783684472777426,90011.0
