class,precision,recall,f1-score,support
Benign,0.9885199014856598,0.9984753039361233,0.9934726630337146,74769.0
Bot,0.9899749373433584,0.9955891619407687,0.9927741124725102,1587.0
Brute Force -Web,1.0,0.25,0.4,4.0
Brute Force -XSS,0.0,0.0,0.0,2.0
DDOS attack-HOIC,1.0,0.9989484752891693,0.9994739610731194,3804.0
DDOS attack-LOIC-UDP,1.0,0.8,0.8888888888888888,10.0
DDoS attacks-LOIC-HTTP,0.9987484355444305,0.9990610328638497,0.9989047097480832,3195.0
DoS attacks-GoldenEye,0.9703389830508474,0.9913419913419913,0.9807280513918629,231.0
DoS attacks-Hulk,1.0,1.0,1.0,2561.0
DoS attacks-SlowHTTPTest,0.7373029772329247,0.5425257731958762,0.6250927988121752,776.0
DoS attacks-Slowloris,0.8367346938775511,0.6721311475409836,0.7454545454545455,61.0
FTP-BruteForce,0.7220046985121378,0.8600746268656716,0.7850148999574287,1072.0
Infilteration,0.4155844155844156,0.07126948775055679,0.12167300380228137,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,1.0,1.0,1.0,1040.0
accuracy,0.9833686993811868,0.9833686993811868,0.9833686993811868,0.9833686993811868
macro avg,0.7772806028420883,0.6786278000483328,0.7020985089756405,90011.0
weighted avg,0.9786165698087289,0.9833686993811868,0.9795399417016716,90011.0
